onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.11902	4	OLD3_T_16	OLD3_T	O	3	TRUE	word107	scene07	qqscratch	qqCentral_Park_A	1	0.11902	1	5.5541	SOF	D1S	0
10.1376	4	OLD3_T_09	OLD3_T	O	3	TRUE	word111	scene19	qqshrink	qqLas_Vegas_A	1	10.1376	1	2.6966	SOF	D1S	10
20.1446	4	OLD1_T_13	OLD1_T	O	1	TRUE	word117	object32	qqspray	qqToothbrush_A	1	20.1446	2	2.3503	SOF	D1S	20
30.1194	4	OLD3_T_10	OLD3_T	O	3	TRUE	word21	scene27	qqcommand	qqSt_Louis_Arch_A	1	30.1194	2	3.4144	SOF	D1S	30
40.1229	4	OLD3_T_06	OLD3_T	O	3	TRUE	word138	scene35	qqwobble	qqWhite_House_A	1	40.1229	3	3.1486	SOF	D1S	40
50.126	4	OLD1_T_04	OLD1_T	O	1	TRUE	word114	object20	qqsnap	qqMicrophone_A	1	50.126	3	3.9293	SOF	D1S	50
60.1287	4	OLD3_T_05	OLD3_T	O	3	TRUE	word76	scene18	qqlick	qqHawaii_A	1	60.1287	4	2.7173	SOF	D1S	60
70.1301	4	OLD3_T_18	OLD3_T	O	3	TRUE	word03	scene23	qqadopt	qqOxford_University_A	1	70.1301	4	3.0242	SOF	D1S	70
80.1304	4	OLD3_T_12	OLD3_T	O	3	TRUE	word97	scene11	qqpunch	qqDisney_World_A	1	80.1304	3	3.4785	SOF	D1S	80
90.1228	4	OLD3_T_16	OLD3_T	O	3	TRUE	word107	scene07	qqscratch	qqCentral_Park_A	1	90.1228	2	3.7192	SOF	D1S	90
100.126	4	OLD1_T_17	OLD1_T	O	1	TRUE	word72	object06	qqjuggle	qqCalculator_A	1	100.126	2	4.1158	SOF	D1S	100
110.1294	4	OLD1_T_09	OLD1_T	O	1	TRUE	word31	object34	qqdebate	qqWalkie_Talkie_A	1	110.1294	2	2.4389	SOF	D1S	110
120.1314	4	OLD1_T_10	OLD1_T	O	1	TRUE	word86	object25	qqnurture	qqPlunger_A	1	120.1314	1	4.0786	SOF	D1S	120
130.1188	4	OLD3_T_16	OLD3_T	O	3	TRUE	word107	scene07	qqscratch	qqCentral_Park_A	1	130.1188	2	2.2905	SOF	D1S	130
140.1227	4	OLD3_T_06	OLD3_T	O	3	TRUE	word138	scene35	qqwobble	qqWhite_House_A	1	140.1227	3	2.0759	SOF	D1S	140
150.1259	4	OLD3_T_15	OLD3_T	O	3	TRUE	word135	scene31	qqwander	qqTimes_Square_A	1	150.1259	4	2.3175	SOF	D1S	150
160.1294	4	OLD3_T_09	OLD3_T	O	3	TRUE	word111	scene19	qqshrink	qqLas_Vegas_A	1	160.1294	1	2.2903	SOF	D1S	160
170.1319	4	OLD3_T_15	OLD3_T	O	3	TRUE	word135	scene31	qqwander	qqTimes_Square_A	1	170.1319	4	1.7133	SOF	D1S	170
180.133	4	OLD3_T_01	OLD3_T	O	3	TRUE	word19	scene14	qqclean	qqForbidden_City_A	1	180.133	1	2.3267	SOF	D1S	180
190.1223	4	OLD3_T_02	OLD3_T	O	3	TRUE	word141	scene06	qqwrestle	qqBuckingham_Palace_A	1	190.1223	2	2.9754	SOF	D1S	190
200.1255	4	OLD3_T_13	OLD3_T	O	3	TRUE	word119	scene32	qqsqueak	qqUS_Capitol_A	1	200.1255	2	4.6734	SOF	D1S	200
210.1291	4	OLD1_T_08	OLD1_T	O	1	TRUE	word142	object36	qqyawn	qqWater_Gun_A	1	210.1291	3	2.3575	SOF	D1S	210
220.1327	4	OLD1_T_06	OLD1_T	O	1	TRUE	word126	object17	qqthrow	qqLighter_A	1	220.1327	4	2.6061	SOF	D1S	220
230.1343	4	OLD3_T_06	OLD3_T	O	3	TRUE	word138	scene35	qqwobble	qqWhite_House_A	1	230.1343	3	1.4709	SOF	D1S	230
240.1346	4	OLD1_T_12	OLD1_T	O	1	TRUE	word47	object21	qqexercise	qqMug_A	1	240.1346	4	3.1375	SOF	D1S	240
250.1255	4	OLD3_T_14	OLD3_T	O	3	TRUE	word37	scene05	qqdiscover	qqBrooklyn_Bridge_A	1	250.1255	4	2.6181	SOF	D1S	250
260.1281	4	OLD3_T_17	OLD3_T	O	3	TRUE	word13	scene17	qqbuy	qqGreat_Wall_of_China_A	1	260.1281	4	4.4391	SOF	D1S	260
270.1324	4	OLD3_T_01	OLD3_T	O	3	TRUE	word19	scene14	qqclean	qqForbidden_City_A	1	270.1324	3	2.1588	SOF	D1S	270
280.1437	4	OLD1_T_02	OLD1_T	O	1	TRUE	word05	object12	qqaudit	qqHand_Cuffs_A	1	280.1437	4	2.8288	SOF	D1S	280
290.1354	4	OLD3_T_05	OLD3_T	O	3	TRUE	word76	scene18	qqlick	qqHawaii_A	1	290.1354	4	2.0192	SOF	D1S	290
300.1354	4	OLD3_T_15	OLD3_T	O	3	TRUE	word135	scene31	qqwander	qqTimes_Square_A	1	300.1354	4	1.2775	SOF	D1S	300
310.1363	4	OLD3_T_14	OLD3_T	O	3	TRUE	word37	scene05	qqdiscover	qqBrooklyn_Bridge_A	1	310.1363	4	1.9102	SOF	D1S	310
320.1367	4	OLD3_T_07	OLD3_T	O	3	TRUE	word128	scene15	qqtrade	qqGolden_Gate_Bridge_A	1	320.1367	3	2.3827	SOF	D1S	320
330.1356	4	OLD3_T_02	OLD3_T	O	3	TRUE	word141	scene06	qqwrestle	qqBuckingham_Palace_A	1	330.1356	3	2.781	SOF	D1S	330
340.1372	4	OLD3_T_09	OLD3_T	O	3	TRUE	word111	scene19	qqshrink	qqLas_Vegas_A	1	340.1372	2	2.7704	SOF	D1S	340
350.1369	4	OLD3_T_10	OLD3_T	O	3	TRUE	word21	scene27	qqcommand	qqSt_Louis_Arch_A	1	350.1369	2	3.4185	SOF	D1S	350
360.1377	4	OLD3_T_11	OLD3_T	O	3	TRUE	word137	scene09	qqwhisper	qqColosseum_A	1	360.1377	1	1.8383	SOF	D1S	360
370.1327	4	OLD3_T_04	OLD3_T	O	3	TRUE	word28	scene26	qqcry	qqSahara_Desert_A	1	370.1327	4	2.5829	SOF	D1S	370
380.1376	4	OLD1_T_15	OLD1_T	O	1	TRUE	word96	object02	qqpublicize	qqBasket_A	1	380.1376	2	2.6755	SOF	D1S	380
390.1392	4	OLD3_T_01	OLD3_T	O	3	TRUE	word19	scene14	qqclean	qqForbidden_City_A	1	390.1392	2	1.9944	SOF	D1S	390
400.1424	4	OLD3_T_05	OLD3_T	O	3	TRUE	word76	scene18	qqlick	qqHawaii_A	1	400.1424	4	1.476	SOF	D1S	400
410.1392	4	OLD3_T_08	OLD3_T	O	3	TRUE	word32	scene25	qqdecay	qqRodeo_Drive_A	1	410.1392	2	3.7282	SOF	D1S	410
420.1382	4	OLD3_T_12	OLD3_T	O	3	TRUE	word97	scene11	qqpunch	qqDisney_World_A	1	420.1382	3	2.8216	SOF	D1S	420
430.135	4	OLD3_T_07	OLD3_T	O	3	TRUE	word128	scene15	qqtrade	qqGolden_Gate_Bridge_A	1	430.135	2	2.3493	SOF	D1S	430
440.148	4	OLD3_T_13	OLD3_T	O	3	TRUE	word119	scene32	qqsqueak	qqUS_Capitol_A	1	440.148	2	2.3068	SOF	D1S	440
450.1422	4	OLD3_T_12	OLD3_T	O	3	TRUE	word97	scene11	qqpunch	qqDisney_World_A	1	450.1422	3	1.4668	SOF	D1S	450
460.1402	4	OLD3_T_03	OLD3_T	O	3	TRUE	word101	scene28	qqrent	qqStonehenge_A	1	460.1402	1	4.1931	SOF	D1S	460
470.1316	4	OLD1_T_03	OLD1_T	O	1	TRUE	word24	object28	qqcram	qqScrew_A	1	470.1316	3	3.3963	SOF	D1S	470
480.1351	4	OLD1_T_16	OLD1_T	O	1	TRUE	word120	object22	qqstretch	qqPaintbrush_A	1	480.1351	4	2.5759	SOF	D1S	480
490.1394	4	OLD3_T_13	OLD3_T	O	3	TRUE	word119	scene32	qqsqueak	qqUS_Capitol_A	1	490.1394	2	4.0611	SOF	D1S	490
500.1414	4	OLD3_T_07	OLD3_T	O	3	TRUE	word128	scene15	qqtrade	qqGolden_Gate_Bridge_A	1	500.1414	2	1.2835	SOF	D1S	500
510.1292	4	OLD3_T_17	OLD3_T	O	3	TRUE	word13	scene17	qqbuy	qqGreat_Wall_of_China_A	1	510.1292	4	3.1145	SOF	D1S	510
