onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10239	4	OLD1_R_02	OLD1_R	O	1	R	word138	scene15	qqwobble	qqGolden_Gate_Bridge_A	1	0.10239	1	3.8913	FSO	D1S	0
10.1443	4	OLD1_R_09	OLD1_R	O	1	R	word52	scene06	qqfloss	qqBuckingham_Palace_A	1	10.1443	0	0	FSO	D1S	10
20.1469	4	OLD3_R_16	OLD3_R	O	3	R	word85	face12	qqnegotiate	qqOprah_Winfrey_A	1	20.1469	3	2.8404	FSO	D1S	20
30.1191	4	OLD3_R_05	OLD3_R	O	3	R	word69	face31	qqinspire	qqLeonardo_Dicaprio_A	1	30.1191	2	2.8624	FSO	D1S	30
40.1202	4	OLD3_R_08	OLD3_R	O	3	R	word36	face21	qqdiagnose	qqBen_Affleck_A	1	40.1202	1	3.4364	FSO	D1S	40
50.1201	4	OLD3_R_17	OLD3_R	O	3	R	word37	face35	qqdiscover	qqSteve_Carell_A	1	50.1201	1	2.768	FSO	D1S	50
60.1211	4	OLD3_R_06	OLD3_R	O	3	R	word121	face27	qqsurprise	qqJoe_Biden_A	1	60.1211	1	3.5776	FSO	D1S	60
70.121	4	OLD1_R_13	OLD1_R	O	1	R	word139	scene02	qqwrap	qqAmazon_A	1	70.121	3	3.3172	FSO	D1S	70
80.1211	4	OLD3_R_17	OLD3_R	O	3	R	word37	face35	qqdiscover	qqSteve_Carell_A	1	80.1211	1	3.6047	FSO	D1S	80
90.1203	4	OLD3_R_15	OLD3_R	O	3	R	word48	face23	qqexplode	qqBruce_Willis_A	1	90.1203	2	3.5026	FSO	D1S	90
100.1214	4	OLD1_R_05	OLD1_R	O	1	R	word04	scene21	qqannoy	qqMadison_Square_Garden_A	1	100.1214	1	2.9192	FSO	D1S	100
110.1212	4	OLD3_R_02	OLD3_R	O	3	R	word13	face03	qqbuy	qqEmma_Stone_A	1	110.1212	1	3.1144	FSO	D1S	110
120.1317	4	OLD3_R_08	OLD3_R	O	3	R	word36	face21	qqdiagnose	qqBen_Affleck_A	1	120.1317	1	1.9395	FSO	D1S	120
130.1175	4	OLD3_R_12	OLD3_R	O	3	R	word60	face09	qqhaunt	qqMadonna_A	1	130.1175	2	3.09	FSO	D1S	130
140.1228	4	OLD3_R_10	OLD3_R	O	3	R	word112	face26	qqskate	qqGeorge_Clooney_A	1	140.1228	1	3.0053	FSO	D1S	140
