onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10038	4	OLD3_R_01	OLD3_R	O	3	R	word88	object36	qqpaddle	qqWater_Gun_A	1	0.10038	2	4.121	OFS	D1S	0
10.1308	4	OLD3_R_02	OLD3_R	O	3	R	word25	object01	qqcrave	qqBaseball_Bat_A	1	10.1308	1	4.0763	OFS	D1S	10
20.1145	4	OLD3_R_09	OLD3_R	O	3	R	word21	object28	qqcommand	qqScrew_A	1	20.1145	0	0	OFS	D1S	20
30.1253	4	OLD1_R_09	OLD1_R	O	1	R	word27	face28	qqcritique	qqJohnny_Depp_A	1	30.1253	3	2.0483	OFS	D1S	30
40.115	4	OLD1_R_01	OLD1_R	O	1	R	word22	face05	qqcomplain	qqJennifer_Lopez_A	1	40.115	2	2.9941	OFS	D1S	40
50.1319	4	OLD3_R_05	OLD3_R	O	3	R	word122	object11	qqsurround	qqFrying_Pan_A	1	50.1319	1	3.4361	OFS	D1S	50
60.1186	4	OLD3_R_17	OLD3_R	O	3	R	word93	object26	qqpray	qqRazor_A	1	60.1186	1	3.6352	OFS	D1S	60
70.1219	4	OLD3_R_10	OLD3_R	O	3	R	word111	object30	qqshrink	qqTape_A	1	70.1219	1	4.1618	OFS	D1S	70
80.1255	4	OLD1_R_08	OLD1_R	O	1	R	word78	face12	qqmanipulate	qqOprah_Winfrey_A	1	80.1255	1	2.6113	OFS	D1S	80
90.1289	4	OLD3_R_12	OLD3_R	O	3	R	word126	object22	qqthrow	qqPaintbrush_A	1	90.1289	3	3.1751	OFS	D1S	90
100.1318	4	OLD3_R_09	OLD3_R	O	3	R	word21	object28	qqcommand	qqScrew_A	1	100.1318	2	3.2289	OFS	D1S	100
110.1356	4	OLD3_R_03	OLD3_R	O	3	R	word117	object20	qqspray	qqMicrophone_A	1	110.1356	1	3.8634	OFS	D1S	110
120.1223	4	OLD1_R_16	OLD1_R	O	1	R	word121	face22	qqsurprise	qqBradley_Cooper_A	1	120.1223	3	2.6679	OFS	D1S	120
130.1175	4	OLD3_R_12	OLD3_R	O	3	R	word126	object22	qqthrow	qqPaintbrush_A	1	130.1175	3	2.1975	OFS	D1S	130
