onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10348	4	OLD3_R_12	OLD3_R	O	3	R	word101	face30	qqrent	qqKanye_West_A	1	0.10348	1	2.9523	FSO	D1S	0
10.1382	4	OLD3_R_07	OLD3_R	O	3	R	word72	face31	qqjuggle	qqLeonardo_Dicaprio_A	1	10.1382	1	3.2726	FSO	D1S	10
20.1249	4	OLD1_R_14	OLD1_R	O	1	R	word63	scene12	qqhunt	qqDubai_A	1	20.1249	1	3.7926	FSO	D1S	20
30.1282	4	OLD3_R_05	OLD3_R	O	3	R	word128	face04	qqtrade	qqEmma_Watson_A	1	30.1282	2	3.6225	FSO	D1S	30
40.1292	4	OLD3_R_10	OLD3_R	O	3	R	word02	face17	qqactivate	qqTina_Fey_A	1	40.1292	1	4.8543	FSO	D1S	40
50.1293	4	OLD3_R_01	OLD3_R	O	3	R	word52	face02	qqfloss	qqBeyonce_A	1	50.1293	3	2.7422	FSO	D1S	50
60.1218	4	OLD3_R_06	OLD3_R	O	3	R	word84	face21	qqnap	qqBen_Affleck_A	1	60.1218	1	3.2456	FSO	D1S	60
70.1256	4	OLD3_R_13	OLD3_R	O	3	R	word90	face07	qqpay	qqKeira_Knightly_A	1	70.1256	3	2.2105	FSO	D1S	70
80.1282	4	OLD3_R_18	OLD3_R	O	3	R	word62	face25	qqhide	qqDr._Phil_A	1	80.1282	1	2.8593	FSO	D1S	80
90.1304	4	OLD3_R_01	OLD3_R	O	3	R	word52	face02	qqfloss	qqBeyonce_A	1	90.1304	3	2.6054	FSO	D1S	90
100.1306	4	OLD3_R_17	OLD3_R	O	3	R	word122	face14	qqsurround	qqSarah_Palin_A	1	100.1306	2	3.1656	FSO	D1S	100
110.1211	4	OLD3_R_09	OLD3_R	O	3	R	word05	face26	qqaudit	qqGeorge_Clooney_A	1	110.1211	2	3.3537	FSO	D1S	110
120.1255	4	OLD3_R_03	OLD3_R	O	3	R	word66	face11	qqinfect	qqNicole_Kidman_A	1	120.1255	1	3.5231	FSO	D1S	120
130.128	4	OLD3_R_06	OLD3_R	O	3	R	word84	face21	qqnap	qqBen_Affleck_A	1	130.128	1	2.0653	FSO	D1S	130
140.1408	4	OLD3_R_10	OLD3_R	O	3	R	word02	face17	qqactivate	qqTina_Fey_A	1	140.1408	1	4.7603	FSO	D1S	140
150.1319	4	OLD3_R_11	OLD3_R	O	3	R	word100	face35	qqrelax	qqSteve_Carell_A	1	150.1319	3	3.5283	FSO	D1S	150
160.1215	4	OLD3_R_12	OLD3_R	O	3	R	word101	face30	qqrent	qqKanye_West_A	1	160.1215	2	2.68	FSO	D1S	160
170.1253	4	OLD3_R_02	OLD3_R	O	3	R	word138	face36	qqwobble	qqTom_Hanks_A	1	170.1253	2	3.0462	FSO	D1S	170
180.1289	4	OLD3_R_13	OLD3_R	O	3	R	word90	face07	qqpay	qqKeira_Knightly_A	1	180.1289	3	2.2961	FSO	D1S	180
190.1313	4	OLD3_R_15	OLD3_R	O	3	R	word29	face29	qqcustomize	qqJon_Stewart_A	1	190.1313	4	2.9205	FSO	D1S	190
200.1332	4	OLD1_R_04	OLD1_R	O	1	R	word60	scene30	qqhaunt	qqTimbuktu_A	1	200.1332	3	3.2069	FSO	D1S	200
210.1329	4	OLD3_R_18	OLD3_R	O	3	R	word62	face25	qqhide	qqDr._Phil_A	1	210.1329	1	2.9379	FSO	D1S	210
220.1331	4	OLD1_R_10	OLD1_R	O	1	R	word67	scene34	qqinherit	qqWashington_Monument_A	1	220.1331	4	3.4241	FSO	D1S	220
230.1281	4	OLD3_R_14	OLD3_R	O	3	R	word47	face08	qqexercise	qqLea_Michele_A	1	230.1281	2	3.8048	FSO	D1S	230
240.1314	4	OLD3_R_12	OLD3_R	O	3	R	word101	face30	qqrent	qqKanye_West_A	1	240.1314	2	1.9066	FSO	D1S	240
250.1344	4	OLD3_R_16	OLD3_R	O	3	R	word109	face33	qqsegment	qqMichael_Phelps_A	1	250.1344	4	2.8752	FSO	D1S	250
260.121	4	OLD1_R_03	OLD1_R	O	1	R	word144	scene09	qqyodel	qqColosseum_A	1	260.121	1	2.588	FSO	D1S	260
270.1352	4	OLD1_R_17	OLD1_R	O	1	R	word24	scene33	qqcram	qqUS_Supreme_Court_A	1	270.1352	1	3.5721	FSO	D1S	270
280.1279	4	OLD1_R_18	OLD1_R	O	1	R	word46	scene08	qqescape	qqColorado_River_A	1	280.1279	4	2.1641	FSO	D1S	280
290.1314	4	OLD3_R_08	OLD3_R	O	3	R	word13	face19	qqbuy	qqAdam_Levine_A	1	290.1314	3	3.4964	FSO	D1S	290
300.1345	4	OLD3_R_07	OLD3_R	O	3	R	word72	face31	qqjuggle	qqLeonardo_Dicaprio_A	1	300.1345	3	3.6318	FSO	D1S	300
310.1363	4	OLD1_R_11	OLD1_R	O	1	R	word49	scene16	qqfaint	qqGreat_Pyramids_A	1	310.1363	1	3.9703	FSO	D1S	310
320.1252	4	OLD3_R_07	OLD3_R	O	3	R	word72	face31	qqjuggle	qqLeonardo_Dicaprio_A	1	320.1252	3	2.9316	FSO	D1S	320
330.1365	4	OLD3_R_04	OLD3_R	O	3	R	word36	face18	qqdiagnose	qqTyra_Banks_A	1	330.1365	2	3.7266	FSO	D1S	330
340.1371	4	OLD3_R_09	OLD3_R	O	3	R	word05	face26	qqaudit	qqGeorge_Clooney_A	1	340.1371	2	2.7974	FSO	D1S	340
350.1354	4	OLD3_R_11	OLD3_R	O	3	R	word100	face35	qqrelax	qqSteve_Carell_A	1	350.1354	3	2.4499	FSO	D1S	350
360.1373	4	OLD1_R_06	OLD1_R	O	1	R	word81	scene15	qqmeet	qqGolden_Gate_Bridge_A	1	360.1373	4	2.1605	FSO	D1S	360
370.1378	4	OLD3_R_04	OLD3_R	O	3	R	word36	face18	qqdiagnose	qqTyra_Banks_A	1	370.1378	1	3.9406	FSO	D1S	370
380.1375	4	OLD3_R_14	OLD3_R	O	3	R	word47	face08	qqexercise	qqLea_Michele_A	1	380.1375	2	2.2808	FSO	D1S	380
390.1378	4	OLD3_R_15	OLD3_R	O	3	R	word29	face29	qqcustomize	qqJon_Stewart_A	1	390.1378	4	1.7006	FSO	D1S	390
400.1351	4	OLD3_R_02	OLD3_R	O	3	R	word138	face36	qqwobble	qqTom_Hanks_A	1	400.1351	1	2.5727	FSO	D1S	400
410.138	4	OLD1_R_12	OLD1_R	O	1	R	word97	scene10	qqpunch	qqDead_Sea_A	1	410.138	1	5.2514	FSO	D1S	410
420.1392	4	OLD3_R_16	OLD3_R	O	3	R	word109	face33	qqsegment	qqMichael_Phelps_A	1	420.1392	4	1.5743	FSO	D1S	420
430.1391	4	OLD3_R_11	OLD3_R	O	3	R	word100	face35	qqrelax	qqSteve_Carell_A	1	430.1391	3	1.6425	FSO	D1S	430
440.1398	4	OLD1_R_08	OLD1_R	O	1	R	word142	scene20	qqyawn	qqMachu_Picchu_A	1	440.1398	1	2.5269	FSO	D1S	440
450.1394	4	OLD3_R_03	OLD3_R	O	3	R	word66	face11	qqinfect	qqNicole_Kidman_A	1	450.1394	1	3.2747	FSO	D1S	450
