onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.097673	4	OLD3_R_10	OLD3_R	O	3	R	word133	face20	qqvisit	qqAlec_Baldwin_A	1	0.097673	2	6.4493	FSO	D1S	0
10.1444	4	OLD3_R_07	OLD3_R	O	3	R	word50	face13	qqfix	qqReese_Witherspoon_A	1	10.1444	3	4.637	FSO	D1S	10
20.119	4	OLD1_R_18	OLD1_R	O	1	R	word110	scene05	qqseize	qqBrooklyn_Bridge_A	1	20.119	2	3.7859	FSO	D1S	20
30.1236	4	OLD3_R_08	OLD3_R	O	3	R	word88	face34	qqpaddle	qqOwen_Wilson_A	1	30.1236	3	4.4352	FSO	D1S	30
40.119	4	OLD3_R_03	OLD3_R	O	3	R	word36	face30	qqdiagnose	qqKanye_West_A	1	40.119	3	4.8439	FSO	D1S	40
50.131	4	OLD3_R_18	OLD3_R	O	3	R	word82	face35	qqmelt	qqSteve_Carell_A	1	50.131	2	4.8722	FSO	D1S	50
60.1335	4	OLD1_R_04	OLD1_R	O	1	R	word51	scene14	qqflaunt	qqForbidden_City_A	1	60.1335	1	4.6947	FSO	D1S	60
70.1194	4	OLD1_R_03	OLD1_R	O	1	R	word115	scene20	qqsnore	qqMachu_Picchu_A	1	70.1194	3	4.553	FSO	D1S	70
80.131	4	OLD1_R_08	OLD1_R	O	1	R	word130	scene10	qqtrespass	qqDead_Sea_A	1	80.131	3	4.6996	FSO	D1S	80
90.1272	4	OLD3_R_18	OLD3_R	O	3	R	word82	face35	qqmelt	qqSteve_Carell_A	1	90.1272	2	3.7134	FSO	D1S	90
100.1307	4	OLD1_R_11	OLD1_R	O	1	R	word111	scene13	qqshrink	qqEiffel_Tower_A	1	100.1307	4	4.7036	FSO	D1S	100
110.121	4	OLD3_R_15	OLD3_R	O	3	R	word19	face14	qqclean	qqSarah_Palin_A	1	110.121	3	5.0563	FSO	D1S	110
120.1369	4	OLD3_R_17	OLD3_R	O	3	R	word118	face29	qqspy	qqJon_Stewart_A	1	120.1369	4	5.0349	FSO	D1S	120
130.1219	4	OLD3_R_09	OLD3_R	O	3	R	word107	face24	qqscratch	qqDaniel_Radcliffe_A	1	130.1219	3	5.4903	FSO	D1S	130
140.1388	4	OLD3_R_11	OLD3_R	O	3	R	word61	face18	qqheat	qqTyra_Banks_A	1	140.1388	4	5.0413	FSO	D1S	140
150.1307	4	OLD1_R_12	OLD1_R	O	1	R	word07	scene06	qqbalance	qqBuckingham_Palace_A	1	150.1307	3	4.7852	FSO	D1S	150
160.122	4	OLD3_R_03	OLD3_R	O	3	R	word36	face30	qqdiagnose	qqKanye_West_A	1	160.122	2	4.8812	FSO	D1S	160
170.1372	4	OLD3_R_04	OLD3_R	O	3	R	word119	face25	qqsqueak	qqDr._Phil_A	1	170.1372	1	4.7719	FSO	D1S	170
180.123	4	OLD3_R_08	OLD3_R	O	3	R	word88	face34	qqpaddle	qqOwen_Wilson_A	1	180.123	3	4.8693	FSO	D1S	180
190.14	4	OLD1_R_01	OLD1_R	O	1	R	word58	scene22	qqgrill	qqMississippi_River_A	1	190.14	2	5.6881	FSO	D1S	190
200.1304	4	OLD1_R_07	OLD1_R	O	1	R	word13	scene27	qqbuy	qqSt_Louis_Arch_A	1	200.1304	2	5.1718	FSO	D1S	200
210.1232	4	OLD1_R_10	OLD1_R	O	1	R	word30	scene32	qqdance	qqUS_Capitol_A	1	210.1232	1	5.36	FSO	D1S	210
220.138	4	OLD3_R_14	OLD3_R	O	3	R	word46	face31	qqescape	qqLeonardo_Dicaprio_A	1	220.138	4	4.7633	FSO	D1S	220
230.1407	4	OLD3_R_17	OLD3_R	O	3	R	word118	face29	qqspy	qqJon_Stewart_A	1	230.1407	4	4.6769	FSO	D1S	230
240.1268	4	OLD3_R_16	OLD3_R	O	3	R	word24	face12	qqcram	qqOprah_Winfrey_A	1	240.1268	1	4.7912	FSO	D1S	240
250.1245	4	OLD3_R_12	OLD3_R	O	3	R	word121	face36	qqsurprise	qqTom_Hanks_A	1	250.1245	3	5.1619	FSO	D1S	250
260.1245	4	OLD3_R_07	OLD3_R	O	3	R	word50	face13	qqfix	qqReese_Witherspoon_A	1	260.1245	3	5.0404	FSO	D1S	260
270.1373	4	OLD3_R_11	OLD3_R	O	3	R	word61	face18	qqheat	qqTyra_Banks_A	1	270.1373	4	4.7624	FSO	D1S	270
280.1254	4	OLD3_R_01	OLD3_R	O	3	R	word60	face22	qqhaunt	qqBradley_Cooper_A	1	280.1254	1	5.9375	FSO	D1S	280
290.1272	4	OLD3_R_14	OLD3_R	O	3	R	word46	face31	qqescape	qqLeonardo_Dicaprio_A	1	290.1272	4	5.002	FSO	D1S	290
