onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.02319	4	OLD1_T_07	OLD1_T	O	1	TRUE	word26	object19	qqcrawl	qqMegaphone_A	2	0.02319	2	2.4525	SOF	D1S	0
10.1235	4	OLD3_T_08	OLD3_T	O	3	TRUE	word63	scene04	qqhunt	qqBerlin_Wall_A	2	10.1235	2	2.9505	SOF	D1S	10
20.1239	4	OLD3_T_16	OLD3_T	O	3	TRUE	word140	scene32	qqwipe	qqUS_Capitol_A	2	20.1239	3	2.403	SOF	D1S	20
30.1243	4	OLD3_T_17	OLD3_T	O	3	TRUE	word03	scene20	qqadopt	qqMachu_Picchu_A	2	30.1243	3	2.4629	SOF	D1S	30
40.1232	4	OLD3_T_08	OLD3_T	O	3	TRUE	word63	scene04	qqhunt	qqBerlin_Wall_A	2	40.1232	3	2.0688	SOF	D1S	40
50.1239	4	OLD3_T_02	OLD3_T	O	3	TRUE	word98	scene30	qqquieted	qqTimbuktu_A	2	50.1239	3	2.217	SOF	D1S	50
60.1406	4	OLD3_T_10	OLD3_T	O	3	TRUE	word123	scene07	qqswim	qqCentral_Park_A	2	60.1406	1	2.3024	SOF	D1S	60
70.1242	4	OLD3_T_09	OLD3_T	O	3	TRUE	word113	scene34	qqsmoke	qqWashington_Monument_A	2	70.1242	2	2.5168	SOF	D1S	70
80.1236	4	OLD3_T_07	OLD3_T	O	3	TRUE	word66	scene31	qqinfect	qqTimes_Square_A	2	80.1236	3	2.0795	SOF	D1S	80
90.1204	4	OLD3_T_11	OLD3_T	O	3	TRUE	word53	scene13	qqfly	qqEiffel_Tower_A	2	90.1204	4	2.3775	SOF	D1S	90
100.1233	4	OLD1_T_02	OLD1_T	O	1	TRUE	word47	object31	qqexercise	qqTeapot_A	2	100.1233	2	2.2972	SOF	D1S	100
110.1234	4	OLD3_T_01	OLD3_T	O	3	TRUE	word10	scene18	qqboost	qqHawaii_A	2	110.1234	3	2.4129	SOF	D1S	110
120.1236	4	OLD3_T_13	OLD3_T	O	3	TRUE	word109	scene25	qqsegment	qqRodeo_Drive_A	2	120.1236	2	3.3933	SOF	D1S	120
130.1226	4	OLD3_T_03	OLD3_T	O	3	TRUE	word42	scene23	qqdye	qqOxford_University_A	2	130.1226	1	2.7395	SOF	D1S	130
140.1233	4	OLD1_T_16	OLD1_T	O	1	TRUE	word99	object17	qqrefuse	qqLighter_A	2	140.1233	2	2.4098	SOF	D1S	140
150.1397	4	OLD3_T_14	OLD3_T	O	3	TRUE	word71	scene06	qqinvade	qqBuckingham_Palace_A	2	150.1397	3	2.7441	SOF	D1S	150
160.1231	4	OLD3_T_17	OLD3_T	O	3	TRUE	word03	scene20	qqadopt	qqMachu_Picchu_A	2	160.1231	2	4.028	SOF	D1S	160
170.1221	4	OLD3_T_16	OLD3_T	O	3	TRUE	word140	scene32	qqwipe	qqUS_Capitol_A	2	170.1221	3	2.0339	SOF	D1S	170
180.1334	4	OLD3_T_07	OLD3_T	O	3	TRUE	word66	scene31	qqinfect	qqTimes_Square_A	2	180.1334	4	2.4002	SOF	D1S	180
190.1364	4	OLD3_T_12	OLD3_T	O	3	TRUE	word34	scene15	qqdeliver	qqGolden_Gate_Bridge_A	2	190.1364	3	2.6288	SOF	D1S	190
200.1385	4	OLD1_T_08	OLD1_T	O	1	TRUE	word119	object26	qqsqueak	qqRazor_A	2	200.1385	2	3.1062	SOF	D1S	200
210.1274	4	OLD3_T_10	OLD3_T	O	3	TRUE	word123	scene07	qqswim	qqCentral_Park_A	2	210.1274	2	2.1651	SOF	D1S	210
