onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.029532	4	OLD1_R_11	OLD1_R	O	1	R	word23	scene21	qqconnect	qqMadison_Square_Garden_A	2	0.029532	3	3.5597	FSO	D1S	0
10.1239	4	OLD3_R_14	OLD3_R	O	3	R	word79	face13	qqmarch	qqReese_Witherspoon_A	2	10.1239	3	4.2666	FSO	D1S	10
20.1237	4	OLD1_R_16	OLD1_R	O	1	R	word50	scene03	qqfix	qqArlington_Cemetery_A	2	20.1237	3	4.3446	FSO	D1S	20
30.1146	4	OLD1_R_07	OLD1_R	O	1	R	word119	scene09	qqsqueak	qqColosseum_A	2	30.1146	1	5.1244	FSO	D1S	30
40.1178	4	OLD3_R_18	OLD3_R	O	3	R	word02	face17	qqactivate	qqTina_Fey_A	2	40.1178	3	5.1654	FSO	D1S	40
50.1212	4	OLD1_R_08	OLD1_R	O	1	R	word105	scene28	qqrub	qqStonehenge_A	2	50.1212	4	3.7418	FSO	D1S	50
60.1232	4	OLD3_R_14	OLD3_R	O	3	R	word79	face13	qqmarch	qqReese_Witherspoon_A	2	60.1232	3	3.4912	FSO	D1S	60
70.1231	4	OLD1_R_06	OLD1_R	O	1	R	word101	scene02	qqrent	qqAmazon_A	2	70.1231	1	3.4937	FSO	D1S	70
80.1224	4	OLD3_R_01	OLD3_R	O	3	R	word49	face31	qqfaint	qqLeonardo_Dicaprio_A	2	80.1224	3	4.8366	FSO	D1S	80
90.118	4	OLD3_R_15	OLD3_R	O	3	R	word48	face10	qqexplode	qqMiley_Cyrus_A	2	90.118	4	2.6322	FSO	D1S	90
100.1209	4	OLD3_R_11	OLD3_R	O	3	R	word69	face09	qqinspire	qqMadonna_A	2	100.1209	4	3.5566	FSO	D1S	100
110.1219	4	OLD3_R_09	OLD3_R	O	3	R	word26	face23	qqcrawl	qqBruce_Willis_A	2	110.1219	3	4.0996	FSO	D1S	110
120.1227	4	OLD3_R_12	OLD3_R	O	3	R	word124	face06	qqswipe	qqJulianne_Moore_A	2	120.1227	4	4.4602	FSO	D1S	120
130.1219	4	OLD1_R_03	OLD1_R	O	1	R	word107	scene17	qqscratch	qqGreat_Wall_of_China_A	2	130.1219	2	5.4692	FSO	D1S	130
140.1222	4	OLD3_R_14	OLD3_R	O	3	R	word79	face13	qqmarch	qqReese_Witherspoon_A	2	140.1222	3	1.6898	FSO	D1S	140
150.147	4	OLD3_R_09	OLD3_R	O	3	R	word26	face23	qqcrawl	qqBruce_Willis_A	2	150.147	3	3.1771	FSO	D1S	150
160.1216	4	OLD3_R_16	OLD3_R	O	3	R	word95	face19	qqprotect	qqAdam_Levine_A	2	160.1216	4	3.8199	FSO	D1S	160
170.122	4	OLD1_R_09	OLD1_R	O	1	R	word140	scene11	qqwipe	qqDisney_World_A	2	170.122	4	5.134	FSO	D1S	170
180.1217	4	OLD3_R_12	OLD3_R	O	3	R	word124	face06	qqswipe	qqJulianne_Moore_A	2	180.1217	3	2.7357	FSO	D1S	180
