onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.0073924	4	OLD3_T_12	OLD3_T	O	3	TRUE	word140	object09	qqwipe	qqFork_A	2	0.0073924	2	2.4295	OFS	D1S	0
10.1165	4	OLD3_T_05	OLD3_T	O	3	TRUE	word23	object27	qqconnect	qqRolling_Pin_A	2	10.1165	1	3.0236	OFS	D1S	10
20.1208	4	OLD1_T_03	OLD1_T	O	1	TRUE	word91	face32	qqpinch	qqMatt_Damon_A	2	20.1208	3	2.7209	OFS	D1S	20
30.1231	4	OLD3_T_18	OLD3_T	O	3	TRUE	word124	object29	qqswipe	qqSewing_Machine_A	2	30.1231	4	3.1684	OFS	D1S	30
40.1263	4	OLD3_T_03	OLD3_T	O	3	TRUE	word70	object21	qqinterview	qqMug_A	2	40.1263	3	2.2207	OFS	D1S	40
50.1258	4	OLD3_T_09	OLD3_T	O	3	TRUE	word123	object07	qqswim	qqCrowbar_A	2	50.1258	1	2.2101	OFS	D1S	50
60.1261	4	OLD3_T_06	OLD3_T	O	3	TRUE	word74	object18	qqkiss	qqMakeup_Brush_A	2	60.1261	4	2.3055	OFS	D1S	60
70.1301	4	OLD3_T_07	OLD3_T	O	3	TRUE	word95	object06	qqprotect	qqCalculator_A	2	70.1301	2	2.4112	OFS	D1S	70
80.124	4	OLD3_T_14	OLD3_T	O	3	TRUE	word56	object02	qqfreeze	qqBasket_A	2	80.124	1	2.7756	OFS	D1S	80
90.1357	4	OLD3_T_16	OLD3_T	O	3	TRUE	word73	object03	qqjump	qqBasketball_A	2	90.1357	4	1.6391	OFS	D1S	90
100.1278	4	OLD3_T_10	OLD3_T	O	3	TRUE	word137	object15	qqwhisper	qqIron_A	2	100.1278	1	2.6439	OFS	D1S	100
110.128	4	OLD3_T_05	OLD3_T	O	3	TRUE	word23	object27	qqconnect	qqRolling_Pin_A	2	110.128	1	2.1676	OFS	D1S	110
120.1283	4	OLD3_T_08	OLD3_T	O	3	TRUE	word39	object04	qqdodge	qqBottle_A	2	120.1283	3	3.5965	OFS	D1S	120
130.1283	4	OLD1_T_06	OLD1_T	O	1	TRUE	word50	face34	qqfix	qqOwen_Wilson_A	2	130.1283	2	2.5517	OFS	D1S	130
140.1371	4	OLD3_T_12	OLD3_T	O	3	TRUE	word140	object09	qqwipe	qqFork_A	2	140.1371	2	2.8211	OFS	D1S	140
150.1382	4	OLD3_T_09	OLD3_T	O	3	TRUE	word123	object07	qqswim	qqCrowbar_A	2	150.1382	1	1.2001	OFS	D1S	150
160.1288	4	OLD1_T_04	OLD1_T	O	1	TRUE	word13	face23	qqbuy	qqBruce_Willis_A	2	160.1288	1	2.3091	OFS	D1S	160
