onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.020493	4	OLD3_R_10	OLD3_R	O	3	R	word106	scene10	qqsabotage	qqDead_Sea_A	2	0.020493	1	2.1347	SOF	D1S	0
10.1244	4	OLD3_R_08	OLD3_R	O	3	R	word74	scene18	qqkiss	qqHawaii_A	2	10.1244	4	1.6897	SOF	D1S	10
20.1254	4	OLD1_R_18	OLD1_R	O	1	R	word88	object02	qqpaddle	qqBasket_A	2	20.1254	1	1.3005	SOF	D1S	20
30.1251	4	OLD3_R_13	OLD3_R	O	3	R	word69	scene01	qqinspire	qqAlcatraz_A	2	30.1251	4	1.8467	SOF	D1S	30
40.1345	4	OLD3_R_06	OLD3_R	O	3	R	word49	scene36	qqfaint	qqYankee_Stadium_A	2	40.1345	1	1.2467	SOF	D1S	40
50.1255	4	OLD3_R_03	OLD3_R	O	3	R	word26	scene33	qqcrawl	qqUS_Supreme_Court_A	2	50.1255	1	1.489	SOF	D1S	50
60.1245	4	OLD3_R_02	OLD3_R	O	3	R	word127	scene27	qqtickle	qqSt_Louis_Arch_A	2	60.1245	1	1.0489	SOF	D1S	60
70.1265	4	OLD3_R_14	OLD3_R	O	3	R	word56	scene15	qqfreeze	qqGolden_Gate_Bridge_A	2	70.1265	1	0.90446	SOF	D1S	70
80.1268	4	OLD3_R_04	OLD3_R	O	3	R	word27	scene13	qqcritique	qqEiffel_Tower_A	2	80.1268	1	1.8717	SOF	D1S	80
90.1267	4	OLD3_R_02	OLD3_R	O	3	R	word127	scene27	qqtickle	qqSt_Louis_Arch_A	2	90.1267	1	0.80272	SOF	D1S	90
100.1213	4	OLD3_R_04	OLD3_R	O	3	R	word27	scene13	qqcritique	qqEiffel_Tower_A	2	100.1213	1	1.0246	SOF	D1S	100
110.124	4	OLD3_R_17	OLD3_R	O	3	R	word11	scene09	qqbribe	qqColosseum_A	2	110.124	1	1.1422	SOF	D1S	110
120.1277	4	OLD3_R_11	OLD3_R	O	3	R	word75	scene31	qqlaunch	qqTimes_Square_A	2	120.1277	1	1.6028	SOF	D1S	120
130.128	4	OLD3_R_01	OLD3_R	O	3	R	word79	scene04	qqmarch	qqBerlin_Wall_A	2	130.128	4	1.672	SOF	D1S	130
140.1282	4	OLD1_R_03	OLD1_R	O	1	R	word31	object22	qqdebate	qqPaintbrush_A	2	140.1282	1	1.1592	SOF	D1S	140
150.1284	4	OLD3_R_05	OLD3_R	O	3	R	word08	scene25	qqbathe	qqRodeo_Drive_A	2	150.1284	1	1.4216	SOF	D1S	150
160.1282	4	OLD3_R_13	OLD3_R	O	3	R	word69	scene01	qqinspire	qqAlcatraz_A	2	160.1282	4	1.5636	SOF	D1S	160
170.1279	4	OLD3_R_10	OLD3_R	O	3	R	word106	scene10	qqsabotage	qqDead_Sea_A	2	170.1279	1	1.1409	SOF	D1S	170
180.1292	4	OLD3_R_08	OLD3_R	O	3	R	word74	scene18	qqkiss	qqHawaii_A	2	180.1292	4	1.0922	SOF	D1S	180
190.1295	4	OLD3_R_17	OLD3_R	O	3	R	word11	scene09	qqbribe	qqColosseum_A	2	190.1295	1	0.86073	SOF	D1S	190
200.1297	4	OLD1_R_14	OLD1_R	O	1	R	word17	object07	qqcheat	qqCrowbar_A	2	200.1297	1	1.7393	SOF	D1S	200
210.1302	4	OLD3_R_06	OLD3_R	O	3	R	word49	scene36	qqfaint	qqYankee_Stadium_A	2	210.1302	1	0.92971	SOF	D1S	210
220.128	4	OLD1_R_12	OLD1_R	O	1	R	word89	object19	qqpaint	qqMegaphone_A	2	220.128	1	1.1714	SOF	D1S	220
230.1305	4	OLD1_R_15	OLD1_R	O	1	R	word41	object28	qqdrop	qqScrew_A	2	230.1305	1	1.6319	SOF	D1S	230
240.1309	4	OLD3_R_02	OLD3_R	O	3	R	word127	scene27	qqtickle	qqSt_Louis_Arch_A	2	240.1309	1	1.0156	SOF	D1S	240
250.1306	4	OLD3_R_05	OLD3_R	O	3	R	word08	scene25	qqbathe	qqRodeo_Drive_A	2	250.1306	1	1.2251	SOF	D1S	250
260.1316	4	OLD3_R_08	OLD3_R	O	3	R	word74	scene18	qqkiss	qqHawaii_A	2	260.1316	4	1.6278	SOF	D1S	260
270.1276	4	OLD1_R_04	OLD1_R	O	1	R	word80	object35	qqmarry	qqWallet_A	2	270.1276	1	1.504	SOF	D1S	270
280.1474	4	OLD3_R_01	OLD3_R	O	3	R	word79	scene04	qqmarch	qqBerlin_Wall_A	2	280.1474	4	1.4389	SOF	D1S	280
290.1311	4	OLD3_R_09	OLD3_R	O	3	R	word61	scene03	qqheat	qqArlington_Cemetery_A	2	290.1311	1	2.0128	SOF	D1S	290
300.1326	4	OLD3_R_06	OLD3_R	O	3	R	word49	scene36	qqfaint	qqYankee_Stadium_A	2	300.1326	1	0.83599	SOF	D1S	300
310.1324	4	OLD1_R_06	OLD1_R	O	1	R	word111	object32	qqshrink	qqToothbrush_A	2	310.1324	1	1.2385	SOF	D1S	310
320.1321	4	OLD1_R_07	OLD1_R	O	1	R	word05	object15	qqaudit	qqIron_A	2	320.1321	1	1.0043	SOF	D1S	320
330.1305	4	OLD3_R_12	OLD3_R	O	3	R	word84	scene28	qqnap	qqStonehenge_A	2	330.1305	1	1.2935	SOF	D1S	330
340.1328	4	OLD3_R_03	OLD3_R	O	3	R	word26	scene33	qqcrawl	qqUS_Supreme_Court_A	2	340.1328	1	0.84632	SOF	D1S	340
350.1338	4	OLD3_R_18	OLD3_R	O	3	R	word102	scene12	qqrepel	qqDubai_A	2	350.1338	1	1.7664	SOF	D1S	350
360.1406	4	OLD3_R_12	OLD3_R	O	3	R	word84	scene28	qqnap	qqStonehenge_A	2	360.1406	1	0.82495	SOF	D1S	360
370.1273	4	OLD1_R_05	OLD1_R	O	1	R	word86	object12	qqnurture	qqHand_Cuffs_A	2	370.1273	1	1.074	SOF	D1S	370
380.1303	4	OLD3_R_16	OLD3_R	O	3	R	word57	scene23	qqgraduate	qqOxford_University_A	2	380.1303	4	1.3616	SOF	D1S	380
390.1345	4	OLD3_R_09	OLD3_R	O	3	R	word61	scene03	qqheat	qqArlington_Cemetery_A	2	390.1345	1	1.1723	SOF	D1S	390
400.1342	4	OLD3_R_07	OLD3_R	O	3	R	word65	scene16	qqimitate	qqGreat_Pyramids_A	2	400.1342	1	1.12	SOF	D1S	400
410.1353	4	OLD3_R_15	OLD3_R	O	3	R	word20	scene34	qqclimb	qqWashington_Monument_A	2	410.1353	1	1.582	SOF	D1S	410
420.1273	4	OLD1_R_13	OLD1_R	O	1	R	word101	object20	qqrent	qqMicrophone_A	2	420.1273	1	1.4143	SOF	D1S	420
430.1313	4	OLD3_R_17	OLD3_R	O	3	R	word11	scene09	qqbribe	qqColosseum_A	2	430.1313	1	1.1626	SOF	D1S	430
440.1336	4	OLD3_R_10	OLD3_R	O	3	R	word106	scene10	qqsabotage	qqDead_Sea_A	2	440.1336	1	0.9234	SOF	D1S	440
450.1362	4	OLD3_R_16	OLD3_R	O	3	R	word57	scene23	qqgraduate	qqOxford_University_A	2	450.1362	4	1.3196	SOF	D1S	450
460.1359	4	OLD3_R_18	OLD3_R	O	3	R	word102	scene12	qqrepel	qqDubai_A	2	460.1359	1	1.047	SOF	D1S	460
470.1366	4	OLD3_R_07	OLD3_R	O	3	R	word65	scene16	qqimitate	qqGreat_Pyramids_A	2	470.1366	1	0.73128	SOF	D1S	470
480.1364	4	OLD3_R_13	OLD3_R	O	3	R	word69	scene01	qqinspire	qqAlcatraz_A	2	480.1364	1	1.7887	SOF	D1S	480
490.1376	4	OLD1_R_17	OLD1_R	O	1	R	word133	object21	qqvisit	qqMug_A	2	490.1376	1	1.6119	SOF	D1S	490
500.1375	4	OLD3_R_01	OLD3_R	O	3	R	word79	scene04	qqmarch	qqBerlin_Wall_A	2	500.1375	4	1.2135	SOF	D1S	500
510.1412	4	OLD1_R_10	OLD1_R	O	1	R	word116	object09	qqsoak	qqFork_A	2	510.1412	1	2.8188	SOF	D1S	510
520.1375	4	OLD3_R_14	OLD3_R	O	3	R	word56	scene15	qqfreeze	qqGolden_Gate_Bridge_A	2	520.1375	1	0.98825	SOF	D1S	520
530.1384	4	OLD3_R_07	OLD3_R	O	3	R	word65	scene16	qqimitate	qqGreat_Pyramids_A	2	530.1384	1	0.81635	SOF	D1S	530
540.1332	4	OLD3_R_18	OLD3_R	O	3	R	word102	scene12	qqrepel	qqDubai_A	2	540.1332	1	0.77258	SOF	D1S	540
550.1369	4	OLD1_R_16	OLD1_R	O	1	R	word141	object33	qqwrestle	qqTraffic_Cone_A	2	550.1369	1	1.608	SOF	D1S	550
560.1391	4	OLD3_R_09	OLD3_R	O	3	R	word61	scene03	qqheat	qqArlington_Cemetery_A	2	560.1391	1	0.91387	SOF	D1S	560
570.1394	4	OLD1_R_08	OLD1_R	O	1	R	word46	object16	qqescape	qqKeys_A	2	570.1394	4	1.6288	SOF	D1S	570
580.1393	4	OLD3_R_03	OLD3_R	O	3	R	word26	scene33	qqcrawl	qqUS_Supreme_Court_A	2	580.1393	1	1.083	SOF	D1S	580
590.1398	4	OLD1_R_02	OLD1_R	O	1	R	word73	object04	qqjump	qqBottle_A	2	590.1398	1	1.1344	SOF	D1S	590
600.1373	4	OLD1_R_01	OLD1_R	O	1	R	word130	object18	qqtrespass	qqMakeup_Brush_A	2	600.1373	1	1.1311	SOF	D1S	600
610.1404	4	OLD3_R_11	OLD3_R	O	3	R	word75	scene31	qqlaunch	qqTimes_Square_A	2	610.1404	1	0.9408	SOF	D1S	610
