onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.13603	4	OLD3_T_17	OLD3_T	O	3	TRUE	word25	scene26	qqcrave	qqSahara_Desert_A	1	0.13603	1	2.7597	SOF	D1S	0
10.1345	4	OLD1_T_03	OLD1_T	O	1	TRUE	word91	object31	qqpinch	qqTeapot_A	1	10.1345	2	3.5124	SOF	D1S	10
20.1315	4	OLD3_T_03	OLD3_T	O	3	TRUE	word87	scene13	qqorganize	qqEiffel_Tower_A	1	20.1315	3	3.2959	SOF	D1S	20
30.1347	4	OLD1_T_09	OLD1_T	O	1	TRUE	word76	object11	qqlick	qqFrying_Pan_A	1	30.1347	3	2.5971	SOF	D1S	30
40.1364	4	OLD3_T_18	OLD3_T	O	3	TRUE	word13	scene19	qqbuy	qqLas_Vegas_A	1	40.1364	4	2.145	SOF	D1S	40
50.1242	4	OLD3_T_10	OLD3_T	O	3	TRUE	word22	scene36	qqcomplain	qqYankee_Stadium_A	1	50.1242	3	3.2182	SOF	D1S	50
60.1445	4	OLD1_T_18	OLD1_T	O	1	TRUE	word121	object34	qqsurprise	qqWalkie_Talkie_A	1	60.1445	3	2.6708	SOF	D1S	60
70.1322	4	OLD1_T_07	OLD1_T	O	1	TRUE	word112	object13	qqskate	qqHandbag_A	1	70.1322	1	2.1479	SOF	D1S	70
80.1344	4	OLD3_T_11	OLD3_T	O	3	TRUE	word03	scene06	qqadopt	qqBuckingham_Palace_A	1	80.1344	2	2.4969	SOF	D1S	80
90.1211	4	OLD3_T_05	OLD3_T	O	3	TRUE	word62	scene22	qqhide	qqMississippi_River_A	1	90.1211	3	2.2856	SOF	D1S	90
100.1203	4	OLD1_T_12	OLD1_T	O	1	TRUE	word05	object10	qqaudit	qqFrisbee_A	1	100.1203	1	1.9682	SOF	D1S	100
110.1275	4	OLD3_T_07	OLD3_T	O	3	TRUE	word64	scene18	qqignore	qqHawaii_A	1	110.1275	2	2.3219	SOF	D1S	110
120.132	4	OLD3_T_10	OLD3_T	O	3	TRUE	word22	scene36	qqcomplain	qqYankee_Stadium_A	1	120.132	3	1.7545	SOF	D1S	120
130.135	4	OLD1_T_13	OLD1_T	O	1	TRUE	word74	object27	qqkiss	qqRolling_Pin_A	1	130.135	3	1.8359	SOF	D1S	130
140.1377	4	OLD3_T_09	OLD3_T	O	3	TRUE	word12	scene01	qqbury	qqAlcatraz_A	1	140.1377	3	1.8236	SOF	D1S	140
150.1394	4	OLD3_T_13	OLD3_T	O	3	TRUE	word115	scene02	qqsnore	qqAmazon_A	1	150.1394	1	2.2612	SOF	D1S	150
