onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10843	4	OLD1_R_14	OLD1_R	O	1	R	word54	object28	qqforgive	qqScrew_A	1	0.10843	1	3.5355	SOF	D1S	0
10.1349	4	OLD3_R_08	OLD3_R	O	3	R	word72	scene26	qqjuggle	qqSahara_Desert_A	1	10.1349	1	3.9304	SOF	D1S	10
20.1396	4	OLD1_R_18	OLD1_R	O	1	R	word62	object20	qqhide	qqMicrophone_A	1	20.1396	2	2.5022	SOF	D1S	20
30.1305	4	OLD3_R_17	OLD3_R	O	3	R	word73	scene22	qqjump	qqMississippi_River_A	1	30.1305	3	2.3613	SOF	D1S	30
40.1198	4	OLD3_R_04	OLD3_R	O	3	R	word97	scene32	qqpunch	qqUS_Capitol_A	1	40.1198	2	2.986	SOF	D1S	40
50.1225	4	OLD3_R_03	OLD3_R	O	3	R	word106	scene05	qqsabotage	qqBrooklyn_Bridge_A	1	50.1225	1	3.269	SOF	D1S	50
60.1259	4	OLD3_R_02	OLD3_R	O	3	R	word128	scene27	qqtrade	qqSt_Louis_Arch_A	1	60.1259	1	2.9035	SOF	D1S	60
70.1292	4	OLD3_R_13	OLD3_R	O	3	R	word95	scene15	qqprotect	qqGolden_Gate_Bridge_A	1	70.1292	3	3.2706	SOF	D1S	70
80.1413	4	OLD3_R_05	OLD3_R	O	3	R	word84	scene08	qqnap	qqColorado_River_A	1	80.1413	2	3.0059	SOF	D1S	80
90.132	4	OLD1_R_15	OLD1_R	O	1	R	word77	object07	qqlocate	qqCrowbar_A	1	90.132	3	2.6195	SOF	D1S	90
100.1321	4	OLD3_R_07	OLD3_R	O	3	R	word13	scene18	qqbuy	qqHawaii_A	1	100.1321	2	3.4076	SOF	D1S	100
110.126	4	OLD3_R_15	OLD3_R	O	3	R	word39	scene29	qqdodge	qqTaj_Mahal_A	1	110.126	1	2.5774	SOF	D1S	110
120.1293	4	OLD3_R_13	OLD3_R	O	3	R	word95	scene15	qqprotect	qqGolden_Gate_Bridge_A	1	120.1293	3	2.3151	SOF	D1S	120
130.1428	4	OLD3_R_05	OLD3_R	O	3	R	word84	scene08	qqnap	qqColorado_River_A	1	130.1428	2	2.1728	SOF	D1S	130
140.1333	4	OLD3_R_12	OLD3_R	O	3	R	word119	scene13	qqsqueak	qqEiffel_Tower_A	1	140.1333	1	2.2282	SOF	D1S	140
150.1159	4	OLD1_R_17	OLD1_R	O	1	R	word08	object14	qqbathe	qqiPhone_A	1	150.1159	1	2.0648	SOF	D1S	150
160.1168	4	OLD3_R_05	OLD3_R	O	3	R	word84	scene08	qqnap	qqColorado_River_A	1	160.1168	2	2.1342	SOF	D1S	160
170.1292	4	OLD1_R_03	OLD1_R	O	1	R	word107	object24	qqscratch	qqPipe_A	1	170.1292	1	2.5386	SOF	D1S	170
180.1327	4	OLD3_R_16	OLD3_R	O	3	R	word66	scene14	qqinfect	qqForbidden_City_A	1	180.1327	1	3.933	SOF	D1S	180
190.1341	4	OLD3_R_10	OLD3_R	O	3	R	word116	scene34	qqsoak	qqWashington_Monument_A	1	190.1341	1	3.0154	SOF	D1S	190
200.1183	4	OLD1_R_01	OLD1_R	O	1	R	word109	object35	qqsegment	qqWallet_A	1	200.1183	2	4.8068	SOF	D1S	200
210.1271	4	OLD3_R_12	OLD3_R	O	3	R	word119	scene13	qqsqueak	qqEiffel_Tower_A	1	210.1271	1	1.6442	SOF	D1S	210
220.1295	4	OLD3_R_04	OLD3_R	O	3	R	word97	scene32	qqpunch	qqUS_Capitol_A	1	220.1295	2	1.6353	SOF	D1S	220
230.1328	4	OLD3_R_09	OLD3_R	O	3	R	word89	scene33	qqpaint	qqUS_Supreme_Court_A	1	230.1328	2	3.4743	SOF	D1S	230
240.1362	4	OLD3_R_07	OLD3_R	O	3	R	word13	scene18	qqbuy	qqHawaii_A	1	240.1362	2	2.4063	SOF	D1S	240
250.1359	4	OLD3_R_13	OLD3_R	O	3	R	word95	scene15	qqprotect	qqGolden_Gate_Bridge_A	1	250.1359	2	1.4235	SOF	D1S	250
260.127	4	OLD1_R_11	OLD1_R	O	1	R	word04	object12	qqannoy	qqHand_Cuffs_A	1	260.127	2	2.7648	SOF	D1S	260
270.1302	4	OLD1_R_16	OLD1_R	O	1	R	word18	object15	qqchill	qqIron_A	1	270.1302	1	2.153	SOF	D1S	270
280.1337	4	OLD1_R_05	OLD1_R	O	1	R	word139	object18	qqwrap	qqMakeup_Brush_A	1	280.1337	3	2.531	SOF	D1S	280
290.1362	4	OLD3_R_10	OLD3_R	O	3	R	word116	scene34	qqsoak	qqWashington_Monument_A	1	290.1362	1	2.4901	SOF	D1S	290
300.1375	4	OLD3_R_14	OLD3_R	O	3	R	word137	scene16	qqwhisper	qqGreat_Pyramids_A	1	300.1375	1	3.1598	SOF	D1S	300
310.1382	4	OLD1_R_04	OLD1_R	O	1	R	word136	object10	qqwarn	qqFrisbee_A	1	310.1382	3	2.0726	SOF	D1S	310
320.1382	4	OLD3_R_07	OLD3_R	O	3	R	word13	scene18	qqbuy	qqHawaii_A	1	320.1382	2	1.4822	SOF	D1S	320
330.1213	4	OLD3_R_14	OLD3_R	O	3	R	word137	scene16	qqwhisper	qqGreat_Pyramids_A	1	330.1213	1	2.0609	SOF	D1S	330
340.1362	4	OLD3_R_06	OLD3_R	O	3	R	word38	scene02	qqdive	qqAmazon_A	1	340.1362	3	2.5026	SOF	D1S	340
350.1392	4	OLD3_R_18	OLD3_R	O	3	R	word123	scene24	qqswim	qqPalace_of_Versailles_A	1	350.1392	1	2.1422	SOF	D1S	350
360.1262	4	OLD3_R_04	OLD3_R	O	3	R	word97	scene32	qqpunch	qqUS_Capitol_A	1	360.1262	2	1.4408	SOF	D1S	360
370.1295	4	OLD3_R_16	OLD3_R	O	3	R	word66	scene14	qqinfect	qqForbidden_City_A	1	370.1295	1	1.5236	SOF	D1S	370
