onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.012344	4	OLD3_R_13	OLD3_R	O	3	R	word89	face23	qqpaint	qqBruce_Willis_A	2	0.012344	1	3.5877	FSO	D1S	0
10.1303	4	OLD1_R_09	OLD1_R	O	1	R	word110	scene08	qqseize	qqColorado_River_A	2	10.1303	2	3.3919	FSO	D1S	10
20.1238	4	OLD1_R_16	OLD1_R	O	1	R	word136	scene04	qqwarn	qqBerlin_Wall_A	2	20.1238	3	2.7523	FSO	D1S	20
30.1277	4	OLD3_R_10	OLD3_R	O	3	R	word104	face25	qqretire	qqDr._Phil_A	2	30.1277	1	3.6671	FSO	D1S	30
40.1392	4	OLD3_R_01	OLD3_R	O	3	R	word139	face29	qqwrap	qqJon_Stewart_A	2	40.1392	2	4.0227	FSO	D1S	40
50.1339	4	OLD3_R_04	OLD3_R	O	3	R	word45	face12	qqembrace	qqOprah_Winfrey_A	2	50.1339	4	1.6907	FSO	D1S	50
60.1315	4	OLD1_R_14	OLD1_R	O	1	R	word92	scene33	qqpolish	qqUS_Supreme_Court_A	2	60.1315	1	4.3259	FSO	D1S	60
70.1238	4	OLD3_R_11	OLD3_R	O	3	R	word95	face17	qqprotect	qqTina_Fey_A	2	70.1238	2	2.6319	FSO	D1S	70
80.1273	4	OLD3_R_17	OLD3_R	O	3	R	word142	face01	qqyawn	qqAdele_A	2	80.1273	1	2.7997	FSO	D1S	80
90.1402	4	OLD3_R_01	OLD3_R	O	3	R	word139	face29	qqwrap	qqJon_Stewart_A	2	90.1402	1	1.6445	FSO	D1S	90
100.1424	4	OLD3_R_14	OLD3_R	O	3	R	word143	face22	qqyell	qqBradley_Cooper_A	2	100.1424	3	2.8228	FSO	D1S	100
110.1205	4	OLD1_R_08	OLD1_R	O	1	R	word124	scene30	qqswipe	qqTimbuktu_A	2	110.1205	1	3.6195	FSO	D1S	110
120.1229	4	OLD1_R_15	OLD1_R	O	1	R	word125	scene11	qqterrify	qqDisney_World_A	2	120.1229	1	2.5285	FSO	D1S	120
130.1272	4	OLD1_R_07	OLD1_R	O	1	R	word86	scene18	qqnurture	qqHawaii_A	2	130.1272	4	3.5162	FSO	D1S	130
140.1304	4	OLD3_R_17	OLD3_R	O	3	R	word142	face01	qqyawn	qqAdele_A	2	140.1304	1	1.4978	FSO	D1S	140
