onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.012259	4	OLD3_T_17	OLD3_T	O	3	TRUE	word50	scene29	qqfix	qqTaj_Mahal_A	2	0.012259	2	2.06	SOF	D1S	0
10.1436	4	OLD3_T_08	OLD3_T	O	3	TRUE	word53	scene36	qqfly	qqYankee_Stadium_A	2	10.1436	4	1.5355	SOF	D1S	10
20.1444	4	OLD1_T_18	OLD1_T	O	1	TRUE	word98	object06	qqquieted	qqCalculator_A	2	20.1444	2	2.7452	SOF	D1S	20
30.145	4	OLD3_T_18	OLD3_T	O	3	TRUE	word122	scene05	qqsurround	qqBrooklyn_Bridge_A	2	30.145	3	2.5842	SOF	D1S	30
40.1366	4	OLD3_T_17	OLD3_T	O	3	TRUE	word50	scene29	qqfix	qqTaj_Mahal_A	2	40.1366	2	2.5016	SOF	D1S	40
50.1404	4	OLD3_T_15	OLD3_T	O	3	TRUE	word131	scene19	qquntangle	qqLas_Vegas_A	2	50.1404	4	2.2706	SOF	D1S	50
60.1432	4	OLD3_T_07	OLD3_T	O	3	TRUE	word11	scene10	qqbribe	qqDead_Sea_A	2	60.1432	1	2.0065	SOF	D1S	60
70.1446	4	OLD3_T_02	OLD3_T	O	3	TRUE	word99	scene23	qqrefuse	qqOxford_University_A	2	70.1446	4	2.4472	SOF	D1S	70
80.1445	4	OLD3_T_06	OLD3_T	O	3	TRUE	word108	scene35	qqscrub	qqWhite_House_A	2	80.1445	4	1.5553	SOF	D1S	80
90.1373	4	OLD3_T_13	OLD3_T	O	3	TRUE	word39	scene02	qqdodge	qqAmazon_A	2	90.1373	1	1.8682	SOF	D1S	90
100.1405	4	OLD3_T_11	OLD3_T	O	3	TRUE	word13	scene14	qqbuy	qqForbidden_City_A	2	100.1405	1	2.2718	SOF	D1S	100
110.1432	4	OLD3_T_16	OLD3_T	O	3	TRUE	word10	scene33	qqboost	qqUS_Supreme_Court_A	2	110.1432	3	2.0666	SOF	D1S	110
120.1443	4	OLD3_T_10	OLD3_T	O	3	TRUE	word112	scene11	qqskate	qqDisney_World_A	2	120.1443	1	1.7897	SOF	D1S	120
130.1436	4	OLD3_T_03	OLD3_T	O	3	TRUE	word135	scene28	qqwander	qqStonehenge_A	2	130.1436	4	1.6675	SOF	D1S	130
140.144	4	OLD3_T_09	OLD3_T	O	3	TRUE	word23	scene01	qqconnect	qqAlcatraz_A	2	140.144	1	2.2729	SOF	D1S	140
150.141	4	OLD1_T_09	OLD1_T	O	1	TRUE	word94	object35	qqprint	qqWallet_A	2	150.141	1	1.6311	SOF	D1S	150
160.1436	4	OLD3_T_02	OLD3_T	O	3	TRUE	word99	scene23	qqrefuse	qqOxford_University_A	2	160.1436	4	1.189	SOF	D1S	160
170.1437	4	OLD3_T_07	OLD3_T	O	3	TRUE	word11	scene10	qqbribe	qqDead_Sea_A	2	170.1437	1	1.744	SOF	D1S	170
180.1345	4	OLD1_T_03	OLD1_T	O	1	TRUE	word54	object03	qqforgive	qqBasketball_A	2	180.1345	1	2.4613	SOF	D1S	180
190.1429	4	OLD3_T_10	OLD3_T	O	3	TRUE	word112	scene11	qqskate	qqDisney_World_A	2	190.1429	1	1.3953	SOF	D1S	190
200.1412	4	OLD1_T_04	OLD1_T	O	1	TRUE	word110	object14	qqseize	qqiPhone_A	2	200.1412	3	2.0785	SOF	D1S	200
210.1444	4	OLD3_T_11	OLD3_T	O	3	TRUE	word13	scene14	qqbuy	qqForbidden_City_A	2	210.1444	1	1.0245	SOF	D1S	210
220.1423	4	OLD3_T_06	OLD3_T	O	3	TRUE	word108	scene35	qqscrub	qqWhite_House_A	2	220.1423	4	1.1676	SOF	D1S	220
230.1428	4	OLD3_T_05	OLD3_T	O	3	TRUE	word144	scene12	qqyodel	qqDubai_A	2	230.1428	3	2.0741	SOF	D1S	230
240.1373	4	OLD3_T_04	OLD3_T	O	3	TRUE	word12	scene21	qqbury	qqMadison_Square_Garden_A	2	240.1373	3	2.1652	SOF	D1S	240
250.1571	4	OLD1_T_01	OLD1_T	O	1	TRUE	word133	object23	qqvisit	qqUmbrella_A	2	250.1571	1	1.5411	SOF	D1S	250
260.1597	4	OLD3_T_16	OLD3_T	O	3	TRUE	word10	scene33	qqboost	qqUS_Supreme_Court_A	2	260.1597	2	2.5293	SOF	D1S	260
270.1426	4	OLD3_T_12	OLD3_T	O	3	TRUE	word52	scene34	qqfloss	qqWashington_Monument_A	2	270.1426	1	2.2054	SOF	D1S	270
280.1427	4	OLD1_T_17	OLD1_T	O	1	TRUE	word96	object09	qqpublicize	qqFork_A	2	280.1427	1	1.8808	SOF	D1S	280
290.1374	4	OLD3_T_11	OLD3_T	O	3	TRUE	word13	scene14	qqbuy	qqForbidden_City_A	2	290.1374	1	1.8938	SOF	D1S	290
300.1412	4	OLD3_T_18	OLD3_T	O	3	TRUE	word122	scene05	qqsurround	qqBrooklyn_Bridge_A	2	300.1412	3	1.6049	SOF	D1S	300
310.1426	4	OLD1_T_06	OLD1_T	O	1	TRUE	word35	object29	qqdemonstrate	qqSewing_Machine_A	2	310.1426	2	2.5905	SOF	D1S	310
320.1419	4	OLD3_T_09	OLD3_T	O	3	TRUE	word23	scene01	qqconnect	qqAlcatraz_A	2	320.1419	1	1.9199	SOF	D1S	320
330.1512	4	OLD1_T_13	OLD1_T	O	1	TRUE	word77	object24	qqlocate	qqPipe_A	2	330.1512	1	1.7945	SOF	D1S	330
340.1422	4	OLD3_T_04	OLD3_T	O	3	TRUE	word12	scene21	qqbury	qqMadison_Square_Garden_A	2	340.1422	3	1.7782	SOF	D1S	340
350.1408	4	OLD3_T_01	OLD3_T	O	3	TRUE	word142	scene06	qqyawn	qqBuckingham_Palace_A	2	350.1408	1	2.1588	SOF	D1S	350
360.1586	4	OLD1_T_05	OLD1_T	O	1	TRUE	word87	object17	qqorganize	qqLighter_A	2	360.1586	1	2.4149	SOF	D1S	360
370.1585	4	OLD3_T_14	OLD3_T	O	3	TRUE	word05	scene15	qqaudit	qqGolden_Gate_Bridge_A	2	370.1585	1	1.765	SOF	D1S	370
380.1412	4	OLD3_T_07	OLD3_T	O	3	TRUE	word11	scene10	qqbribe	qqDead_Sea_A	2	380.1412	1	1.1147	SOF	D1S	380
390.1544	4	OLD3_T_05	OLD3_T	O	3	TRUE	word144	scene12	qqyodel	qqDubai_A	2	390.1544	3	1.232	SOF	D1S	390
400.1583	4	OLD3_T_13	OLD3_T	O	3	TRUE	word39	scene02	qqdodge	qqAmazon_A	2	400.1583	1	1.4727	SOF	D1S	400
410.1449	4	OLD3_T_05	OLD3_T	O	3	TRUE	word144	scene12	qqyodel	qqDubai_A	2	410.1449	3	4.1409	SOF	D1S	410
420.1476	4	OLD3_T_13	OLD3_T	O	3	TRUE	word39	scene02	qqdodge	qqAmazon_A	2	420.1476	2	1.9395	SOF	D1S	420
430.1509	4	OLD3_T_10	OLD3_T	O	3	TRUE	word112	scene11	qqskate	qqDisney_World_A	2	430.1509	1	1.4478	SOF	D1S	430
440.155	4	OLD3_T_14	OLD3_T	O	3	TRUE	word05	scene15	qqaudit	qqGolden_Gate_Bridge_A	2	440.155	1	1.0872	SOF	D1S	440
450.158	4	OLD3_T_06	OLD3_T	O	3	TRUE	word108	scene35	qqscrub	qqWhite_House_A	2	450.158	4	1.4625	SOF	D1S	450
460.1577	4	OLD3_T_12	OLD3_T	O	3	TRUE	word52	scene34	qqfloss	qqWashington_Monument_A	2	460.1577	1	1.1527	SOF	D1S	460
470.148	4	OLD3_T_15	OLD3_T	O	3	TRUE	word131	scene19	qquntangle	qqLas_Vegas_A	2	470.148	4	1.4457	SOF	D1S	470
480.1514	4	OLD1_T_08	OLD1_T	O	1	TRUE	word124	object21	qqswipe	qqMug_A	2	480.1514	1	1.6465	SOF	D1S	480
490.1544	4	OLD3_T_09	OLD3_T	O	3	TRUE	word23	scene01	qqconnect	qqAlcatraz_A	2	490.1544	1	1.1463	SOF	D1S	490
500.1738	4	OLD3_T_01	OLD3_T	O	3	TRUE	word142	scene06	qqyawn	qqBuckingham_Palace_A	2	500.1738	3	2.2563	SOF	D1S	500
510.1565	4	OLD3_T_18	OLD3_T	O	3	TRUE	word122	scene05	qqsurround	qqBrooklyn_Bridge_A	2	510.1565	3	1.8086	SOF	D1S	510
520.1474	4	OLD1_T_11	OLD1_T	O	1	TRUE	word22	object18	qqcomplain	qqMakeup_Brush_A	2	520.1474	4	1.9317	SOF	D1S	520
530.1512	4	OLD1_T_12	OLD1_T	O	1	TRUE	word33	object30	qqdecorate	qqTape_A	2	530.1512	1	1.7237	SOF	D1S	530
540.1543	4	OLD1_T_10	OLD1_T	O	1	TRUE	word09	object26	qqbleach	qqRazor_A	2	540.1543	2	2.4406	SOF	D1S	540
550.1567	4	OLD3_T_08	OLD3_T	O	3	TRUE	word53	scene36	qqfly	qqYankee_Stadium_A	2	550.1567	4	1.6464	SOF	D1S	550
560.1567	4	OLD3_T_15	OLD3_T	O	3	TRUE	word131	scene19	qquntangle	qqLas_Vegas_A	2	560.1567	4	1.4106	SOF	D1S	560
570.156	4	OLD3_T_16	OLD3_T	O	3	TRUE	word10	scene33	qqboost	qqUS_Supreme_Court_A	2	570.156	3	1.4348	SOF	D1S	570
580.1675	4	OLD3_T_02	OLD3_T	O	3	TRUE	word99	scene23	qqrefuse	qqOxford_University_A	2	580.1675	4	1.4043	SOF	D1S	580
590.1549	4	OLD3_T_14	OLD3_T	O	3	TRUE	word05	scene15	qqaudit	qqGolden_Gate_Bridge_A	2	590.1549	1	2.7539	SOF	D1S	590
600.156	4	OLD3_T_04	OLD3_T	O	3	TRUE	word12	scene21	qqbury	qqMadison_Square_Garden_A	2	600.156	3	1.6508	SOF	D1S	600
610.1605	4	OLD3_T_01	OLD3_T	O	3	TRUE	word142	scene06	qqyawn	qqBuckingham_Palace_A	2	610.1605	1	2.556	SOF	D1S	610
620.1555	4	OLD3_T_03	OLD3_T	O	3	TRUE	word135	scene28	qqwander	qqStonehenge_A	2	620.1555	4	1.5686	SOF	D1S	620
630.1564	4	OLD1_T_02	OLD1_T	O	1	TRUE	word14	object34	qqcarve	qqWalkie_Talkie_A	2	630.1564	1	1.9148	SOF	D1S	630
640.155	4	OLD3_T_08	OLD3_T	O	3	TRUE	word53	scene36	qqfly	qqYankee_Stadium_A	2	640.155	4	1.3879	SOF	D1S	640
650.1551	4	OLD1_T_16	OLD1_T	O	1	TRUE	word04	object28	qqannoy	qqScrew_A	2	650.1551	3	3.7573	SOF	D1S	650
660.161	4	OLD3_T_03	OLD3_T	O	3	TRUE	word135	scene28	qqwander	qqStonehenge_A	2	660.161	4	0.93112	SOF	D1S	660
670.1547	4	OLD3_T_17	OLD3_T	O	3	TRUE	word50	scene29	qqfix	qqTaj_Mahal_A	2	670.1547	2	2.4493	SOF	D1S	670
680.1678	4	OLD1_T_15	OLD1_T	O	1	TRUE	word80	object07	qqmarry	qqCrowbar_A	2	680.1678	1	2.3306	SOF	D1S	680
690.1709	4	OLD1_T_14	OLD1_T	O	1	TRUE	word62	object25	qqhide	qqPlunger_A	2	690.1709	2	2.2728	SOF	D1S	690
700.1552	4	OLD3_T_12	OLD3_T	O	3	TRUE	word52	scene34	qqfloss	qqWashington_Monument_A	2	700.1552	1	2.1543	SOF	D1S	700
710.1554	4	OLD1_T_07	OLD1_T	O	1	TRUE	word32	object12	qqdecay	qqHand_Cuffs_A	2	710.1554	3	1.6945	SOF	D1S	710
