onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.0094023	4	OLD3_R_18	OLD3_R	O	3	R	word09	object04	qqbleach	qqBottle_A	2	0.0094023	3	2.465	OFS	D1S	0
10.134	4	OLD3_R_16	OLD3_R	O	3	R	word25	object03	qqcrave	qqBasketball_A	2	10.134	4	2.9217	OFS	D1S	10
20.1232	4	OLD1_R_03	OLD1_R	O	1	R	word40	face07	qqdream	qqKeira_Knightly_A	2	20.1232	4	2.1855	OFS	D1S	20
30.1192	4	OLD3_R_09	OLD3_R	O	3	R	word32	object17	qqdecay	qqLighter_A	2	30.1192	3	2.7368	OFS	D1S	30
40.1328	4	OLD1_R_10	OLD1_R	O	1	R	word53	face13	qqfly	qqReese_Witherspoon_A	2	40.1328	2	2.5891	OFS	D1S	40
50.1268	4	OLD3_R_07	OLD3_R	O	3	R	word66	object24	qqinfect	qqPipe_A	2	50.1268	4	2.4104	OFS	D1S	50
60.1233	4	OLD1_R_18	OLD1_R	O	1	R	word92	face16	qqpolish	qqTaylor_Swift_A	2	60.1233	3	2.2468	OFS	D1S	60
70.1338	4	OLD3_R_17	OLD3_R	O	3	R	word24	object02	qqcram	qqBasket_A	2	70.1338	0	0	OFS	D1S	70
80.1204	4	OLD3_R_04	OLD3_R	O	3	R	word138	object26	qqwobble	qqRazor_A	2	80.1204	2	2.1778	OFS	D1S	80
90.1397	4	OLD1_R_14	OLD1_R	O	1	R	word28	face05	qqcry	qqJennifer_Lopez_A	2	90.1397	3	1.9898	OFS	D1S	90
100.1568	4	OLD3_R_13	OLD3_R	O	3	R	word43	object22	qqeat	qqPaintbrush_A	2	100.1568	1	2.2747	OFS	D1S	100
110.1305	4	OLD3_R_04	OLD3_R	O	3	R	word138	object26	qqwobble	qqRazor_A	2	110.1305	1	1.273	OFS	D1S	110
120.1225	4	OLD3_R_13	OLD3_R	O	3	R	word43	object22	qqeat	qqPaintbrush_A	2	120.1225	1	1.9957	OFS	D1S	120
130.1228	4	OLD1_R_17	OLD1_R	O	1	R	word124	face24	qqswipe	qqDaniel_Radcliffe_A	2	130.1228	3	3.0616	OFS	D1S	130
140.1392	4	OLD3_R_14	OLD3_R	O	3	R	word115	object01	qqsnore	qqBaseball_Bat_A	2	140.1392	2	3.3323	OFS	D1S	140
150.1224	4	OLD1_R_05	OLD1_R	O	1	R	word88	face17	qqpaddle	qqTina_Fey_A	2	150.1224	2	2.7362	OFS	D1S	150
160.1226	4	OLD3_R_10	OLD3_R	O	3	R	word116	object32	qqsoak	qqToothbrush_A	2	160.1226	3	3.6061	OFS	D1S	160
170.1324	4	OLD3_R_02	OLD3_R	O	3	R	word105	object13	qqrub	qqHandbag_A	2	170.1324	1	2.8263	OFS	D1S	170
180.1371	4	OLD1_R_07	OLD1_R	O	1	R	word136	face10	qqwarn	qqMiley_Cyrus_A	2	180.1371	4	2.0492	OFS	D1S	180
190.139	4	OLD1_R_15	OLD1_R	O	1	R	word19	face04	qqclean	qqEmma_Watson_A	2	190.139	3	3.3975	OFS	D1S	190
200.1389	4	OLD3_R_05	OLD3_R	O	3	R	word127	object33	qqtickle	qqTraffic_Cone_A	2	200.1389	1	2.4228	OFS	D1S	200
210.1303	4	OLD3_R_12	OLD3_R	O	3	R	word139	object06	qqwrap	qqCalculator_A	2	210.1303	2	2.9766	OFS	D1S	210
220.133	4	OLD1_R_13	OLD1_R	O	1	R	word35	face31	qqdemonstrate	qqLeonardo_Dicaprio_A	2	220.133	3	3.1102	OFS	D1S	220
230.1361	4	OLD3_R_10	OLD3_R	O	3	R	word116	object32	qqsoak	qqToothbrush_A	2	230.1361	3	2.1447	OFS	D1S	230
240.1383	4	OLD3_R_05	OLD3_R	O	3	R	word127	object33	qqtickle	qqTraffic_Cone_A	2	240.1383	1	2.4158	OFS	D1S	240
250.1382	4	OLD3_R_01	OLD3_R	O	3	R	word51	object07	qqflaunt	qqCrowbar_A	2	250.1382	1	3.1663	OFS	D1S	250
260.1294	4	OLD1_R_16	OLD1_R	O	1	R	word52	face22	qqfloss	qqBradley_Cooper_A	2	260.1294	1	3.0108	OFS	D1S	260
270.1331	4	OLD3_R_06	OLD3_R	O	3	R	word118	object08	qqspy	qqEraser_A	2	270.1331	4	2.4628	OFS	D1S	270
280.1368	4	OLD3_R_14	OLD3_R	O	3	R	word115	object01	qqsnore	qqBaseball_Bat_A	2	280.1368	1	1.6424	OFS	D1S	280
290.1231	4	OLD3_R_15	OLD3_R	O	3	R	word27	object16	qqcritique	qqKeys_A	2	290.1231	1	3.3066	OFS	D1S	290
300.1267	4	OLD3_R_02	OLD3_R	O	3	R	word105	object13	qqrub	qqHandbag_A	2	300.1267	1	1.3609	OFS	D1S	300
310.1305	4	OLD3_R_01	OLD3_R	O	3	R	word51	object07	qqflaunt	qqCrowbar_A	2	310.1305	1	1.4678	OFS	D1S	310
320.1332	4	OLD3_R_03	OLD3_R	O	3	R	word93	object19	qqpray	qqMegaphone_A	2	320.1332	4	2.3951	OFS	D1S	320
330.1362	4	OLD3_R_02	OLD3_R	O	3	R	word105	object13	qqrub	qqHandbag_A	2	330.1362	1	0.99587	OFS	D1S	330
340.1374	4	OLD3_R_08	OLD3_R	O	3	R	word114	object11	qqsnap	qqFrying_Pan_A	2	340.1374	1	3.0838	OFS	D1S	340
350.1263	4	OLD3_R_12	OLD3_R	O	3	R	word139	object06	qqwrap	qqCalculator_A	2	350.1263	2	2.3969	OFS	D1S	350
360.1371	4	OLD3_R_06	OLD3_R	O	3	R	word118	object08	qqspy	qqEraser_A	2	360.1371	4	1.8199	OFS	D1S	360
370.1339	4	OLD1_R_08	OLD1_R	O	1	R	word104	face18	qqretire	qqTyra_Banks_A	2	370.1339	4	1.6507	OFS	D1S	370
380.1365	4	OLD3_R_04	OLD3_R	O	3	R	word138	object26	qqwobble	qqRazor_A	2	380.1365	1	1.5219	OFS	D1S	380
390.1402	4	OLD3_R_16	OLD3_R	O	3	R	word25	object03	qqcrave	qqBasketball_A	2	390.1402	4	1.7603	OFS	D1S	390
400.1266	4	OLD3_R_17	OLD3_R	O	3	R	word24	object02	qqcram	qqBasket_A	2	400.1266	4	3.2174	OFS	D1S	400
410.1368	4	OLD3_R_03	OLD3_R	O	3	R	word93	object19	qqpray	qqMegaphone_A	2	410.1368	4	1.7748	OFS	D1S	410
420.1355	4	OLD3_R_12	OLD3_R	O	3	R	word139	object06	qqwrap	qqCalculator_A	2	420.1355	1	2.3047	OFS	D1S	420
430.1358	4	OLD3_R_15	OLD3_R	O	3	R	word27	object16	qqcritique	qqKeys_A	2	430.1358	1	2.9557	OFS	D1S	430
440.1356	4	OLD3_R_01	OLD3_R	O	3	R	word51	object07	qqflaunt	qqCrowbar_A	2	440.1356	1	1.5051	OFS	D1S	440
450.1437	4	OLD3_R_10	OLD3_R	O	3	R	word116	object32	qqsoak	qqToothbrush_A	2	450.1437	3	2.5838	OFS	D1S	450
460.1358	4	OLD1_R_11	OLD1_R	O	1	R	word143	face03	qqyell	qqEmma_Stone_A	2	460.1358	3	3.3797	OFS	D1S	460
470.1356	4	OLD3_R_14	OLD3_R	O	3	R	word115	object01	qqsnore	qqBaseball_Bat_A	2	470.1356	1	1.085	OFS	D1S	470
480.135	4	OLD3_R_13	OLD3_R	O	3	R	word43	object22	qqeat	qqPaintbrush_A	2	480.135	1	1.867	OFS	D1S	480
490.1403	4	OLD3_R_05	OLD3_R	O	3	R	word127	object33	qqtickle	qqTraffic_Cone_A	2	490.1403	1	1.605	OFS	D1S	490
500.1355	4	OLD3_R_18	OLD3_R	O	3	R	word09	object04	qqbleach	qqBottle_A	2	500.1355	3	2.1308	OFS	D1S	500
510.1344	4	OLD1_R_04	OLD1_R	O	1	R	word46	face11	qqescape	qqNicole_Kidman_A	2	510.1344	2	3.3818	OFS	D1S	510
520.1347	4	OLD3_R_18	OLD3_R	O	3	R	word09	object04	qqbleach	qqBottle_A	2	520.1347	3	1.4924	OFS	D1S	520
530.152	4	OLD1_R_06	OLD1_R	O	1	R	word08	face02	qqbathe	qqBeyonce_A	2	530.152	4	1.9369	OFS	D1S	530
540.1353	4	OLD3_R_11	OLD3_R	O	3	R	word78	object28	qqmanipulate	qqScrew_A	2	540.1353	4	2.1531	OFS	D1S	540
550.1351	4	OLD1_R_01	OLD1_R	O	1	R	word01	face20	qqabandon	qqAlec_Baldwin_A	2	550.1351	2	4.0148	OFS	D1S	550
560.1347	4	OLD3_R_08	OLD3_R	O	3	R	word114	object11	qqsnap	qqFrying_Pan_A	2	560.1347	1	1.866	OFS	D1S	560
570.1502	4	OLD3_R_09	OLD3_R	O	3	R	word32	object17	qqdecay	qqLighter_A	2	570.1502	3	2.3161	OFS	D1S	570
580.1514	4	OLD3_R_03	OLD3_R	O	3	R	word93	object19	qqpray	qqMegaphone_A	2	580.1514	4	0.98796	OFS	D1S	580
590.135	4	OLD3_R_09	OLD3_R	O	3	R	word32	object17	qqdecay	qqLighter_A	2	590.135	3	1.1006	OFS	D1S	590
600.1513	4	OLD3_R_07	OLD3_R	O	3	R	word66	object24	qqinfect	qqPipe_A	2	600.1513	4	1.6871	OFS	D1S	600
610.1629	4	OLD1_R_02	OLD1_R	O	1	R	word04	face25	qqannoy	qqDr._Phil_A	2	610.1629	4	2.5813	OFS	D1S	610
620.1498	4	OLD3_R_16	OLD3_R	O	3	R	word25	object03	qqcrave	qqBasketball_A	2	620.1498	3	3.6015	OFS	D1S	620
630.1511	4	OLD3_R_11	OLD3_R	O	3	R	word78	object28	qqmanipulate	qqScrew_A	2	630.1511	4	1.5236	OFS	D1S	630
640.1394	4	OLD3_R_17	OLD3_R	O	3	R	word24	object02	qqcram	qqBasket_A	2	640.1394	1	4.1451	OFS	D1S	640
650.1509	4	OLD3_R_15	OLD3_R	O	3	R	word27	object16	qqcritique	qqKeys_A	2	650.1509	1	1.9708	OFS	D1S	650
660.1467	4	OLD3_R_07	OLD3_R	O	3	R	word66	object24	qqinfect	qqPipe_A	2	660.1467	4	1.7355	OFS	D1S	660
670.15	4	OLD1_R_09	OLD1_R	O	1	R	word48	face06	qqexplode	qqJulianne_Moore_A	2	670.15	3	2.4274	OFS	D1S	670
680.1529	4	OLD3_R_11	OLD3_R	O	3	R	word78	object28	qqmanipulate	qqScrew_A	2	680.1529	4	4.0163	OFS	D1S	680
690.1503	4	OLD3_R_06	OLD3_R	O	3	R	word118	object08	qqspy	qqEraser_A	2	690.1503	4	1.2882	OFS	D1S	690
700.1431	4	OLD3_R_08	OLD3_R	O	3	R	word114	object11	qqsnap	qqFrying_Pan_A	2	700.1431	1	1.7787	OFS	D1S	700
710.15	4	OLD1_R_12	OLD1_R	O	1	R	word133	face35	qqvisit	qqSteve_Carell_A	2	710.15	4	2.4219	OFS	D1S	710
