onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
0.10775	4	OLD3_T_18	OLD3_T	O	3	TRUE	word63	face02	qqhunt	qqBeyonce_A	1	0.10775	3	3.7461	FSO	D1S	0
10.1404	4	OLD3_T_06	OLD3_T	O	3	TRUE	word67	face19	qqinherit	qqAdam_Levine_A	1	10.1404	3	4.5154	FSO	D1S	10
20.1148	4	OLD3_T_13	OLD3_T	O	3	TRUE	word48	face01	qqexplode	qqAdele_A	1	20.1148	4	2.7928	FSO	D1S	20
30.1182	4	OLD1_T_13	OLD1_T	O	1	TRUE	word38	scene34	qqdive	qqWashington_Monument_A	1	30.1182	1	3.8903	FSO	D1S	30
40.1215	4	OLD3_T_16	OLD3_T	O	3	TRUE	word100	face20	qqrelax	qqAlec_Baldwin_A	1	40.1215	4	2.9696	FSO	D1S	40
50.1252	4	OLD1_T_08	OLD1_T	O	1	TRUE	word80	scene11	qqmarry	qqDisney_World_A	1	50.1252	2	3.8669	FSO	D1S	50
60.1254	4	OLD3_T_04	OLD3_T	O	3	TRUE	word58	face27	qqgrill	qqJoe_Biden_A	1	60.1254	4	4.1893	FSO	D1S	60
70.1157	4	OLD1_T_07	OLD1_T	O	1	TRUE	word121	scene15	qqsurprise	qqGolden_Gate_Bridge_A	1	70.1157	1	3.1524	FSO	D1S	70
80.1182	4	OLD1_T_18	OLD1_T	O	1	TRUE	word22	scene27	qqcomplain	qqSt_Louis_Arch_A	1	80.1182	1	3.4673	FSO	D1S	80
90.1215	4	OLD3_T_15	OLD3_T	O	3	TRUE	word91	face17	qqpinch	qqTina_Fey_A	1	90.1215	4	2.8754	FSO	D1S	90
100.1249	4	OLD3_T_13	OLD3_T	O	3	TRUE	word48	face01	qqexplode	qqAdele_A	1	100.1249	4	3.1283	FSO	D1S	100
110.1269	4	OLD3_T_02	OLD3_T	O	3	TRUE	word99	face04	qqrefuse	qqEmma_Watson_A	1	110.1269	4	3.1726	FSO	D1S	110
120.1268	4	OLD3_T_03	OLD3_T	O	3	TRUE	word133	face26	qqvisit	qqGeorge_Clooney_A	1	120.1268	4	3.3177	FSO	D1S	120
130.1271	4	OLD3_T_05	OLD3_T	O	3	TRUE	word103	face31	qqrescue	qqLeonardo_Dicaprio_A	1	130.1271	3	3.8058	FSO	D1S	130
140.1276	4	OLD1_T_14	OLD1_T	O	1	TRUE	word55	scene33	qqfossilize	qqUS_Supreme_Court_A	1	140.1276	2	4.1969	FSO	D1S	140
150.125	4	OLD3_T_11	OLD3_T	O	3	TRUE	word112	face05	qqskate	qqJennifer_Lopez_A	1	150.125	2	4.2268	FSO	D1S	150
160.1282	4	OLD3_T_14	OLD3_T	O	3	TRUE	word06	face22	qqaward	qqBradley_Cooper_A	1	160.1282	3	4.0966	FSO	D1S	160
170.1284	4	OLD3_T_17	OLD3_T	O	3	TRUE	word10	face06	qqboost	qqJulianne_Moore_A	1	170.1284	3	2.5426	FSO	D1S	170
180.1179	4	OLD3_T_10	OLD3_T	O	3	TRUE	word123	face24	qqswim	qqDaniel_Radcliffe_A	1	180.1179	1	2.7916	FSO	D1S	180
190.1291	4	OLD3_T_16	OLD3_T	O	3	TRUE	word100	face20	qqrelax	qqAlec_Baldwin_A	1	190.1291	3	3.6053	FSO	D1S	190
200.1251	4	OLD3_T_09	OLD3_T	O	3	TRUE	word42	face23	qqdye	qqBruce_Willis_A	1	200.1251	4	3.2291	FSO	D1S	200
210.1292	4	OLD3_T_08	OLD3_T	O	3	TRUE	word30	face07	qqdance	qqKeira_Knightly_A	1	210.1292	4	3.082	FSO	D1S	210
220.1296	4	OLD1_T_11	OLD1_T	O	1	TRUE	word130	scene36	qqtrespass	qqYankee_Stadium_A	1	220.1296	2	3.0806	FSO	D1S	220
230.1301	4	OLD3_T_03	OLD3_T	O	3	TRUE	word133	face26	qqvisit	qqGeorge_Clooney_A	1	230.1301	3	2.4027	FSO	D1S	230
240.1299	4	OLD1_T_06	OLD1_T	O	1	TRUE	word68	scene30	qqinject	qqTimbuktu_A	1	240.1299	2	3.8786	FSO	D1S	240
250.1248	4	OLD3_T_05	OLD3_T	O	3	TRUE	word103	face31	qqrescue	qqLeonardo_Dicaprio_A	1	250.1248	3	3.7529	FSO	D1S	250
260.1283	4	OLD3_T_15	OLD3_T	O	3	TRUE	word91	face17	qqpinch	qqTina_Fey_A	1	260.1283	3	2.6649	FSO	D1S	260
270.1312	4	OLD1_T_05	OLD1_T	O	1	TRUE	word66	scene02	qqinfect	qqAmazon_A	1	270.1312	4	2.6216	FSO	D1S	270
280.1314	4	OLD3_T_09	OLD3_T	O	3	TRUE	word42	face23	qqdye	qqBruce_Willis_A	1	280.1314	3	2.4105	FSO	D1S	280
290.1319	4	OLD3_T_01	OLD3_T	O	3	TRUE	word64	face08	qqignore	qqLea_Michele_A	1	290.1319	1	5.2482	FSO	D1S	290
300.1253	4	OLD1_T_02	OLD1_T	O	1	TRUE	word36	scene17	qqdiagnose	qqGreat_Wall_of_China_A	1	300.1253	1	3.4052	FSO	D1S	300
310.1283	4	OLD1_T_17	OLD1_T	O	1	TRUE	word124	scene23	qqswipe	qqOxford_University_A	1	310.1283	1	3.3871	FSO	D1S	310
320.1325	4	OLD1_T_04	OLD1_T	O	1	TRUE	word83	scene08	qqmodernize	qqColorado_River_A	1	320.1325	1	3.9662	FSO	D1S	320
330.1324	4	OLD3_T_18	OLD3_T	O	3	TRUE	word63	face02	qqhunt	qqBeyonce_A	1	330.1324	4	2.1545	FSO	D1S	330
340.1331	4	OLD3_T_11	OLD3_T	O	3	TRUE	word112	face05	qqskate	qqJennifer_Lopez_A	1	340.1331	3	3.3968	FSO	D1S	340
350.1255	4	OLD3_T_08	OLD3_T	O	3	TRUE	word30	face07	qqdance	qqKeira_Knightly_A	1	350.1255	4	4.4231	FSO	D1S	350
360.1331	4	OLD1_T_16	OLD1_T	O	1	TRUE	word113	scene29	qqsmoke	qqTaj_Mahal_A	1	360.1331	1	2.8842	FSO	D1S	360
370.1327	4	OLD3_T_12	OLD3_T	O	3	TRUE	word78	face10	qqmanipulate	qqMiley_Cyrus_A	1	370.1327	2	4.5441	FSO	D1S	370
380.1341	4	OLD3_T_10	OLD3_T	O	3	TRUE	word123	face24	qqswim	qqDaniel_Radcliffe_A	1	380.1341	1	1.7768	FSO	D1S	380
390.1346	4	OLD3_T_17	OLD3_T	O	3	TRUE	word10	face06	qqboost	qqJulianne_Moore_A	1	390.1346	1	3.6796	FSO	D1S	390
400.1348	4	OLD1_T_12	OLD1_T	O	1	TRUE	word142	scene06	qqyawn	qqBuckingham_Palace_A	1	400.1348	4	3.2289	FSO	D1S	400
410.1284	4	OLD3_T_12	OLD3_T	O	3	TRUE	word78	face10	qqmanipulate	qqMiley_Cyrus_A	1	410.1284	2	2.2562	FSO	D1S	410
420.1324	4	OLD3_T_05	OLD3_T	O	3	TRUE	word103	face31	qqrescue	qqLeonardo_Dicaprio_A	1	420.1324	4	1.7383	FSO	D1S	420
430.1347	4	OLD3_T_01	OLD3_T	O	3	TRUE	word64	face08	qqignore	qqLea_Michele_A	1	430.1347	1	3.5647	FSO	D1S	430
440.1355	4	OLD1_T_09	OLD1_T	O	1	TRUE	word02	scene16	qqactivate	qqGreat_Pyramids_A	1	440.1355	1	3.3068	FSO	D1S	440
